Make,Colour,Odometer (KM),Doors,Seats,Fuel Milage,Total Fuel Used,Price
Honda,Blue,191622.0,4.0,5,3.02,63450.99,8738.0
Nissan,Blue,38186.0,4.0,5,3.84,9944.27,23438.0
Nissan,White,131958.99,4.0,5,5.95,22177.98,15131.0
Nissan,Blue,146430.0,3.0,5,3.28,44643.29,9224.0
Toyota,Green,109868.0,4.0,5,3.35,32796.42,6574.0
Toyota,Blue,189209.0,4.0,5,4.68,40429.27,7100.0
Honda,Black,200490.0,4.0,5,3.94,50885.79,6337.0
Toyota,Blue,141617.0,4.0,5,5.57,25424.96,19085.0
Toyota,Blue,213893.0,4.0,5,5.31,40281.17,5743.0
Nissan,Blue,231057.0,4.0,5,5.85,39496.92,5925.0
Toyota,White,100938.0,4.0,5,3.03,33312.87,25196.0
Toyota,Blue,243969.0,5.0,5,5.22,46737.36,16138.0
Nissan,White,107096.0,3.0,5,3.74,28635.29,6075.0
Toyota,Black,86333.0,4.0,5,5.18,16666.6,9928.0
Toyota,Red,184878.0,4.0,5,4.34,42598.62,7445.0
Honda,White,161068.0,5.0,5,5.75,28011.83,13698.0
Toyota,Blue,77646.0,4.0,5,4.26,18226.76,17422.0
Toyota,Blue,246817.0,4.0,5,4.9,50370.82,8269.0
BMW,White,79937.0,5.0,5,4.55,17568.57,48686.0
Honda,White,82039.0,4.0,5,5.29,15508.32,15662.0
BMW,Red,162176.0,5.0,5,5.65,28703.72,19186.0
Toyota,White,97375.0,4.0,5,4.28,22751.17,11479.0
Toyota,Blue,230908.0,4.0,5,3.54,65228.25,12883.0
BMW,Red,208124.0,5.0,5,3.26,63841.72,24668.0
Honda,Black,16933.0,4.0,5,3.71,4564.15,12172.0
Honda,Green,57198.0,4.0,5,5.16,11084.88,25068.0
Honda,Green,47019.0,4.0,5,5.05,9310.69,20370.0
Toyota,White,170085.0,4.0,5,4.2,40496.43,5383.0
BMW,White,178796.0,5.0,5,5.4,33110.37,18396.0
Toyota,Blue,223390.0,4.0,5,5.84,38251.71,9648.0
Toyota,Black,93054.0,4.0,5,4.28,21741.59,6652.0
Toyota,Blue,42459.0,4.0,5,5.92,7172.13,6386.0
BMW,White,37513.0,5.0,5,4.2,8931.67,32379.0
Nissan,White,123121.0,4.0,5,3.68,33456.79,22436.0
Toyota,White,204213.0,4.0,5,4.66,43822.53,6860.0
Honda,White,131958.99,4.0,5,3.83,34454.04,5648.0
Toyota,Blue,191232.0,4.0,5,4.14,46191.3,18355.0
Toyota,Blue,156478.0,5.0,5,4.31,36305.8,20424.0
Toyota,Blue,140465.0,4.0,5,4.12,34093.45,15154.0
Toyota,Blue,238425.0,4.0,5,3.43,69511.66,6502.0
Honda,Blue,186146.0,4.0,5,3.93,47365.39,18310.0
Honda,Black,149879.0,4.0,5,5.82,25752.41,8200.0
Toyota,Blue,34097.0,4.0,5,4.27,7985.25,20142.0
Nissan,Blue,180021.0,3.0,5,4.52,39827.65,13199.0
Toyota,Blue,248447.0,4.0,5,4.24,58595.99,5708.0
Toyota,Green,61651.0,4.0,5,4.83,12764.18,13430.0
Nissan,Blue,24219.0,3.0,5,4.34,5580.41,10283.0
Nissan,Blue,131958.99,4.0,5,3.0,43986.33,3300.0
Honda,White,108415.0,4.0,5,4.83,22446.17,20936.0
Nissan,Red,61892.0,5.0,5,4.05,15281.98,18160.0
Nissan,White,197844.0,4.0,5,5.39,36705.75,5776.0
Toyota,White,53765.0,4.0,5,4.98,10796.18,18595.0
Honda,White,115183.0,4.0,5,5.76,19997.05,6481.0
Honda,White,130783.0,4.0,5,3.95,33109.62,6283.0
Honda,Green,130076.0,4.0,5,4.4,29562.73,6762.0
Honda,Blue,143707.0,4.0,5,5.2,27635.96,16337.0
Toyota,Blue,29856.0,4.0,5,4.93,6055.98,11392.0
Toyota,Black,133433.0,4.0,5,4.28,31175.93,16519.0
Toyota,Red,147455.0,4.0,5,3.56,41419.94,22296.0
Honda,White,48069.0,4.0,5,3.91,12293.86,12196.0
Honda,Blue,146233.0,4.0,5,3.63,40284.57,14202.0
Toyota,White,224657.0,4.0,5,4.25,52860.47,13250.0
Honda,White,150582.0,5.0,5,5.05,29818.22,7404.0
Honda,White,195787.0,4.0,5,4.58,42748.25,5316.0
Honda,White,71329.0,4.0,5,5.0,14265.8,10125.0
Honda,Blue,229206.0,4.0,5,3.72,61614.52,13614.0
Toyota,White,218803.0,4.0,5,4.55,48088.57,13283.0
Honda,White,184869.0,4.0,5,3.43,53897.67,11584.0
Nissan,Blue,129769.0,3.0,5,3.43,37833.53,15617.0
Honda,Blue,219217.0,4.0,5,4.97,44108.05,4747.0
Toyota,White,221050.0,4.0,5,4.77,46341.72,6391.0
Nissan,White,82726.0,4.0,5,5.37,15405.21,17802.0
Nissan,White,72122.0,4.0,5,3.7,19492.43,22943.0
Nissan,Blue,43149.0,4.0,5,5.16,8362.21,19502.0
Nissan,White,24077.0,4.0,5,5.91,4073.94,15541.0
Toyota,Black,20714.0,4.0,5,5.99,3458.1,30407.0
Toyota,Black,26979.0,4.0,5,3.88,6953.35,35432.0
Nissan,White,223889.0,4.0,5,5.2,43055.58,10091.0
Nissan,Blue,166938.0,4.0,5,4.89,34138.65,11485.0
BMW,White,18394.0,5.0,5,5.53,3326.22,16128.75
Nissan,White,212081.0,3.0,5,5.61,37804.1,11192.0
Nissan,White,206073.0,5.0,5,5.32,38735.53,3944.0
Nissan,Black,67364.0,5.0,5,5.26,12806.84,15604.0
Toyota,White,71805.0,4.0,5,4.99,14389.78,35600.0
BMW,Red,35807.0,5.0,5,4.55,7869.67,17596.0
Nissan,White,175777.0,4.0,5,5.74,30623.17,13427.0
Toyota,White,131958.99,4.0,5,5.92,22290.37,35358.0
Nissan,White,18994.0,4.0,5,3.67,5175.48,7813.0
Toyota,Red,29689.0,4.0,5,4.13,7188.62,8743.0
Toyota,White,109013.0,4.0,5,5.31,20529.76,10628.0
Honda,Green,125802.0,4.0,5,4.52,27832.3,4754.0
Toyota,White,22788.0,4.0,5,5.99,3804.34,6784.0
Honda,Blue,43981.0,4.0,5,4.84,9086.98,17584.0
Toyota,White,132055.0,4.0,5,5.67,23290.12,10582.0
Honda,Blue,31677.0,4.0,5,3.96,7999.24,21754.0
Toyota,Red,133195.0,4.0,5,4.69,28399.79,14795.0
Honda,Blue,137233.0,4.0,5,5.36,25603.17,8809.0
Nissan,Blue,179666.0,4.0,5,5.77,31137.95,19258.0
Toyota,White,131958.99,4.0,5,4.91,26875.56,34133.0
Honda,White,21393.0,4.0,5,3.73,5735.39,20490.0
Nissan,Blue,41554.0,4.0,5,4.32,9618.98,31536.0
BMW,Blue,131958.99,5.0,5,3.74,35283.15,30412.0
Nissan,White,123923.0,4.0,5,4.23,29296.22,14986.0
BMW,White,148949.0,3.0,5,5.95,25033.45,23074.0
Toyota,Blue,103909.0,4.0,5,4.54,22887.44,4566.0
Toyota,White,50604.0,4.0,5,3.4,14883.53,10038.0
Toyota,Green,168432.0,4.0,5,3.96,42533.33,20497.0
Nissan,White,129188.0,4.0,5,4.05,31898.27,8071.0
Honda,Red,223416.0,4.0,5,4.2,53194.29,10707.0
Toyota,White,66538.0,4.0,5,5.59,11903.04,16128.75
Nissan,Green,149042.0,3.0,5,4.01,37167.58,10835.0
Nissan,White,149347.0,3.0,5,3.32,44984.04,5332.0
BMW,White,39267.0,5.0,5,3.83,10252.48,19106.0
Toyota,Black,147540.0,4.0,5,4.97,29686.12,20155.0
Toyota,Green,218482.0,4.0,5,4.54,48123.79,10198.0
Honda,White,202855.0,4.0,5,5.78,35096.02,8260.0
Honda,White,213793.0,4.0,5,5.68,37639.61,12402.0
BMW,Blue,86805.0,5.0,5,5.58,15556.45,34110.0
Honda,White,100527.0,4.0,5,4.19,23992.12,22616.0
Honda,Blue,37678.0,4.0,5,4.23,8907.33,6361.0
Nissan,White,215169.0,4.0,5,4.23,50867.38,14793.0
Nissan,Blue,211249.0,4.0,5,5.0,42249.8,15767.0
Honda,Blue,96389.0,4.0,5,4.59,20999.78,7861.0
Honda,Blue,50417.0,4.0,5,4.67,10795.93,25847.0
Nissan,Blue,178405.0,5.0,5,3.46,51562.14,8693.0
Nissan,Blue,163423.0,4.0,5,5.89,27745.84,7193.0
Toyota,Blue,63975.0,4.0,5,4.06,15757.39,21851.0
Toyota,White,97036.0,4.0,5,5.19,18696.72,16128.75
Honda,Blue,54380.0,4.0,5,3.77,14424.4,20282.0
Nissan,Black,240536.0,4.0,5,4.41,54543.31,3247.0
Toyota,White,188755.0,4.0,5,4.33,43592.38,17980.0
Toyota,Blue,51155.0,4.0,5,3.63,14092.29,15960.0
Toyota,Blue,94916.0,4.0,5,5.67,16740.04,16128.75
Toyota,Blue,38544.0,4.0,5,5.68,6785.92,34286.0
Honda,White,131958.99,4.0,5,4.71,28016.77,10076.0
BMW,Black,158339.0,5.0,5,4.03,39290.07,23287.0
Toyota,Red,33400.0,4.0,5,4.67,7152.03,12398.0
Nissan,White,118470.0,3.0,5,4.99,23741.48,20075.0
Toyota,Blue,89501.0,4.0,5,3.23,27709.29,12218.0
Toyota,White,87594.0,4.0,5,4.55,19251.43,20100.0
Nissan,Green,32754.0,4.0,5,3.54,9252.54,13146.0
Nissan,Red,191810.0,3.0,5,4.48,42814.73,14189.0
Honda,Black,61749.0,4.0,5,3.81,16207.09,9290.0
Toyota,Blue,237190.0,4.0,5,3.55,66814.08,7800.0
Honda,White,166028.0,4.0,5,3.39,48975.81,13056.0
BMW,White,126441.0,5.0,5,4.95,25543.64,39738.0
Toyota,Green,58118.0,4.0,5,3.86,15056.48,6848.0
Honda,White,76343.0,4.0,5,3.76,20303.99,7097.0
Toyota,White,188338.0,4.0,5,5.0,37667.6,13106.0
Toyota,Black,40285.0,4.0,5,4.87,8272.07,7846.0
Honda,White,74192.0,4.0,5,3.86,19220.73,8706.0
Toyota,Green,172401.0,5.0,5,5.52,31232.07,5454.0
Honda,Blue,78153.0,4.0,5,5.76,13568.23,10316.0
Toyota,Green,146940.0,4.0,5,5.78,25422.15,25133.0
Nissan,White,193874.0,4.0,5,4.6,42146.52,10596.0
Honda,Blue,184320.0,4.0,5,5.42,34007.38,6978.0
Honda,Red,95243.0,4.0,5,3.4,28012.65,13559.0
Honda,Blue,84719.0,4.0,5,3.55,23864.51,26402.0
Toyota,Blue,99761.0,4.0,5,3.46,28832.66,10547.0
Nissan,Red,150563.0,4.0,5,4.8,31367.29,16115.0
Toyota,Blue,154576.0,4.0,5,5.61,27553.65,12553.0
Honda,White,211862.0,4.0,5,3.96,53500.51,12476.0
Nissan,Black,125251.0,4.0,5,4.74,26424.26,18306.0
Toyota,Blue,90856.0,4.0,5,3.54,25665.54,33077.0
Honda,White,131958.99,4.0,5,3.33,39627.32,22746.0
Toyota,Black,24764.0,4.0,5,3.88,6382.47,8856.0
Honda,White,43437.0,5.0,5,3.28,13242.99,28013.0
Honda,White,25729.0,4.0,5,3.8,6770.79,9155.0
Honda,Green,238825.0,4.0,5,3.89,61394.6,9530.0
BMW,White,206446.0,5.0,5,5.72,36091.96,19892.0
BMW,White,131958.99,5.0,5,4.67,28256.74,38128.0
Honda,Blue,42324.0,4.0,5,5.23,8092.54,12531.0
Toyota,White,183368.0,4.0,5,4.33,42348.27,18198.0
Nissan,Blue,141962.0,4.0,5,4.81,29513.93,5595.0
Toyota,Green,214179.0,4.0,5,5.36,39958.77,12872.0
BMW,White,195419.0,5.0,5,3.59,54434.26,29308.0
Nissan,Blue,158730.0,3.0,5,5.71,27798.6,12104.0
Honda,White,28791.0,4.0,5,4.53,6355.63,19052.0
Toyota,White,117504.0,4.0,5,5.7,20614.74,25874.0
Honda,Blue,63825.0,4.0,5,3.32,19224.4,23339.0
Toyota,Green,142598.0,4.0,5,3.05,46753.44,21830.0
Toyota,White,88015.0,4.0,5,5.15,17090.29,22794.0
BMW,Blue,79301.0,5.0,5,5.12,15488.48,35004.0
Toyota,Red,241987.0,4.0,5,3.65,66297.81,9734.0
BMW,Red,39323.0,5.0,5,4.33,9081.52,18691.0
Nissan,White,209259.0,4.0,5,5.79,36141.45,10823.0
Honda,Red,120306.0,4.0,5,5.49,21913.66,18346.0
Toyota,Blue,148421.0,4.0,5,4.03,36829.03,9953.0
Toyota,Blue,225286.0,4.0,5,3.92,57470.92,12086.0
Honda,White,108206.0,4.0,5,4.81,22496.05,13208.0
Toyota,Green,131958.99,4.0,5,3.78,34909.79,19936.0
Honda,Blue,61828.0,4.0,5,4.84,12774.38,27787.0
Honda,Blue,173693.0,4.0,5,3.91,44422.76,11092.0
BMW,White,194157.0,5.0,5,3.34,58130.84,34856.0
Honda,Blue,232904.0,4.0,5,4.42,52693.21,7725.0
Nissan,White,196374.0,4.0,5,3.13,62739.3,7032.0
Toyota,White,48184.0,4.0,5,5.11,9429.35,15095.0
Nissan,Green,189739.0,4.0,5,5.8,32713.62,16730.0
Honda,Red,164352.0,4.0,5,5.78,28434.6,14160.0
Honda,Blue,26616.0,4.0,5,4.21,6322.09,9521.0
Toyota,White,203804.0,4.0,5,4.62,44113.42,5273.0
Toyota,White,58054.0,4.0,5,5.23,11100.19,10180.0
BMW,Blue,63321.0,3.0,5,4.96,12766.33,39021.0
BMW,Red,33911.0,5.0,5,3.27,10370.34,16128.75
BMW,White,173915.0,5.0,5,3.97,43807.3,14404.0
Toyota,Black,217253.0,4.0,5,4.41,49263.72,16603.0
Honda,White,131958.99,4.0,5,4.5,29324.22,7076.0
Toyota,Black,140756.0,4.0,5,5.0,28151.2,26954.0
Nissan,Blue,131958.99,4.0,5,3.97,33239.04,18182.0
Nissan,Blue,124116.0,5.0,5,3.18,39030.19,5386.0
Nissan,Red,128235.0,4.0,5,4.71,27226.11,8327.0
Nissan,Red,157169.0,4.0,5,4.84,32472.93,16128.75
Honda,Red,61504.0,4.0,5,4.09,15037.65,12046.0
Toyota,White,242084.0,4.0,5,4.07,59480.1,13111.0
Toyota,White,61623.0,4.0,5,3.92,15720.15,35760.0
Honda,Green,46085.0,4.0,5,5.25,8778.1,29681.0
Honda,White,67599.0,5.0,5,5.51,12268.42,10516.0
Toyota,White,59222.0,4.0,5,3.96,14955.05,32676.0
Honda,Black,237861.0,4.0,5,3.69,64460.98,10374.0
Honda,Blue,136392.0,4.0,5,3.51,38858.12,12146.0
BMW,White,29534.0,5.0,5,3.04,9715.13,28414.0
Nissan,Green,190794.0,3.0,5,4.88,39097.13,17917.0
Honda,White,223685.0,4.0,5,3.12,71693.91,9379.0
Honda,White,85975.0,4.0,5,4.14,20766.91,27640.0
BMW,White,23996.0,5.0,5,3.02,7945.7,48239.0
Toyota,Blue,85473.0,4.0,5,4.1,20847.07,22002.0
Toyota,White,236674.0,4.0,5,3.76,62945.21,15234.0
Nissan,Blue,193135.0,3.0,5,5.81,33241.82,13005.0
Honda,White,131958.99,4.0,5,4.71,28016.77,28983.0
BMW,Blue,245427.0,5.0,5,4.27,57477.05,17520.0
Honda,Blue,106494.0,4.0,5,3.56,29914.04,17858.0
Toyota,White,196840.0,4.0,5,3.66,53781.42,10646.0
Nissan,White,116279.0,4.0,5,3.75,31007.73,16179.0
BMW,Blue,131958.99,3.0,5,4.55,29001.98,16391.0
Honda,White,195829.0,4.0,5,3.41,57427.86,17866.0
Toyota,Blue,239004.0,4.0,5,3.8,62895.79,8566.0
Honda,Red,238609.0,4.0,5,4.45,53620.0,5052.0
Toyota,Green,44436.0,4.0,5,3.67,12107.9,17317.0
Honda,White,224292.0,4.0,5,5.26,42641.06,6431.0
Nissan,White,43540.0,5.0,5,4.62,9424.24,9263.0
Honda,Green,37606.0,4.0,5,5.38,6989.96,13255.0
Nissan,White,215130.0,4.0,5,4.92,43725.61,11768.0
Toyota,Black,198564.0,4.0,5,5.07,39164.5,7708.0
Honda,Red,11035.0,4.0,5,3.42,3226.61,10602.0
Toyota,Red,197616.0,4.0,5,4.21,46939.67,14089.0
Honda,White,171260.0,4.0,5,4.04,42391.09,18524.0
Toyota,White,20985.0,4.0,5,3.67,5717.98,33353.0
Honda,White,246079.0,4.0,5,3.46,71121.1,10872.0
Nissan,White,133441.0,4.0,5,4.28,31177.8,21921.0
Toyota,Red,162665.0,4.0,5,4.49,36228.29,7042.0
Toyota,Blue,44815.0,4.0,5,3.59,12483.29,8460.0
Toyota,Black,103472.0,5.0,5,3.8,27229.47,15184.0
Nissan,White,234161.0,4.0,5,5.56,42115.29,13200.0
Toyota,Blue,222542.0,4.0,5,4.22,52735.07,8834.0
Honda,Blue,230570.0,5.0,5,5.47,42151.74,10676.0
Toyota,White,134862.0,4.0,5,4.5,29969.33,12353.0
Toyota,White,55828.0,4.0,5,4.81,11606.65,23311.0
Honda,White,61163.0,4.0,5,3.06,19987.91,18375.0
Honda,Red,108681.0,4.0,5,4.16,26125.24,10740.0
Nissan,Blue,174825.0,3.0,5,3.72,46995.97,4863.0
BMW,White,203517.0,5.0,5,4.85,41962.27,26846.0
Toyota,Green,180760.0,4.0,5,3.53,51206.8,10380.0
Toyota,Blue,52054.0,4.0,5,5.06,10287.35,10888.0
Toyota,Blue,118308.0,4.0,5,3.76,31464.89,20237.0
Toyota,White,12141.0,4.0,5,3.8,3195.0,17556.0
BMW,White,131958.99,5.0,5,5.78,22830.28,32887.0
Nissan,Blue,104355.0,4.0,5,3.83,27246.74,18058.0
Toyota,White,230943.0,4.0,5,4.41,52368.03,13560.0
Toyota,White,131958.99,4.0,5,5.62,23480.25,16128.75
Honda,White,29514.0,4.0,5,5.93,4977.07,19357.0
Honda,Green,94062.0,4.0,5,4.59,20492.81,27057.0
Nissan,White,131958.99,3.0,5,3.51,37595.15,23868.0
Honda,Red,163045.0,4.0,5,4.11,39670.32,17035.0
Toyota,Blue,165301.0,4.0,5,4.99,33126.45,10429.0
Toyota,Blue,161572.0,5.0,5,4.71,34304.03,15088.0
Toyota,Green,151291.0,4.0,5,4.54,33324.01,6200.0
Toyota,Blue,234051.0,5.0,5,3.18,73600.94,11616.0
Toyota,Blue,232912.0,4.0,5,5.68,41005.63,6029.0
BMW,Blue,130817.0,3.0,5,5.19,25205.59,31392.0
Toyota,Blue,135080.0,4.0,5,3.24,41691.36,13652.0
Nissan,Blue,197823.0,3.0,5,4.86,40704.32,17860.0
Toyota,White,170466.0,4.0,5,4.78,35662.34,3974.0
Toyota,White,112292.0,4.0,5,4.2,26736.19,24834.0
Nissan,Blue,195494.0,4.0,5,5.47,35739.31,6460.0
Nissan,Blue,111015.0,3.0,5,4.2,26432.14,7252.0
Honda,Blue,247869.0,4.0,5,3.71,66811.05,11982.0
Toyota,Black,188514.0,4.0,5,5.34,35302.25,16128.75
Toyota,Green,165225.0,4.0,5,5.92,27909.63,10841.0
Honda,Black,175075.0,4.0,5,3.06,57214.05,16128.75
Honda,White,187663.0,4.0,5,3.33,56355.26,13433.0
Toyota,Red,65435.0,4.0,5,3.79,17265.17,24949.0
Honda,White,80664.0,4.0,5,3.55,22722.25,20981.0
Toyota,White,119439.0,4.0,5,3.57,33456.3,17340.0
Honda,White,144093.0,4.0,5,3.39,42505.31,17036.0
Toyota,White,127161.0,4.0,5,4.98,25534.34,4871.0
Honda,White,40749.0,4.0,5,4.6,8858.48,25649.0
Nissan,Blue,192557.0,4.0,5,5.07,37979.68,6672.0
Toyota,White,117571.0,4.0,5,5.29,22225.14,23719.0
BMW,White,176864.0,5.0,5,4.75,37234.53,24938.0
Honda,Blue,191658.0,4.0,5,5.45,35166.61,17597.0
Toyota,Black,132103.0,5.0,5,5.81,22737.18,10439.0
Honda,Red,47933.0,4.0,5,4.96,9663.91,10301.0
Toyota,White,50756.0,4.0,5,4.33,11721.94,11738.0
Honda,Blue,196835.0,4.0,5,5.71,34471.98,15623.0
Honda,Blue,106744.0,4.0,5,4.51,23668.29,16223.0
Nissan,White,131958.99,4.0,5,4.58,28812.01,3974.0
BMW,Blue,103283.0,3.0,5,5.84,17685.45,22176.0
Toyota,White,134415.0,5.0,5,4.21,31927.55,5125.0
Honda,Black,155682.0,5.0,5,3.91,39816.37,9992.0
Toyota,White,164093.0,4.0,5,5.38,30500.56,3893.0
Toyota,Blue,119745.0,4.0,5,5.95,20125.21,23902.0
Honda,White,145850.0,4.0,5,4.57,31914.66,17876.0
Nissan,White,24420.0,4.0,5,4.55,5367.03,14198.0
Honda,White,213324.0,4.0,5,4.85,43984.33,8704.0
Honda,White,34822.0,4.0,5,3.1,11232.9,14613.0
Toyota,Red,180473.0,4.0,5,5.53,32635.26,6568.0
Honda,White,71283.0,4.0,5,3.01,23682.06,7497.0
Honda,White,178774.0,4.0,5,4.51,39639.47,15047.0
Toyota,Blue,112223.0,4.0,5,4.58,24502.84,4753.0
Toyota,Blue,198570.0,4.0,5,4.93,40277.89,17284.0
Toyota,White,214493.0,4.0,5,4.5,47665.11,12434.0
Nissan,White,64362.0,4.0,5,5.33,12075.42,28993.0
Honda,Blue,104304.0,4.0,5,3.19,32697.18,23017.0
Nissan,Blue,71527.0,4.0,5,5.59,12795.53,17961.0
Honda,White,220876.0,4.0,5,5.39,40978.85,16128.75
Nissan,Blue,76412.0,4.0,5,5.38,14202.97,13492.0
Toyota,Blue,243255.0,4.0,5,4.39,55411.16,7378.0
Honda,White,144088.0,4.0,5,5.69,25323.02,5838.0
Honda,Blue,196526.0,4.0,5,4.0,49131.5,6242.0
Honda,White,89291.0,4.0,5,5.0,17858.2,13703.0
Nissan,Blue,18044.0,3.0,5,3.7,4876.76,14227.0
Nissan,White,88908.0,4.0,5,4.72,18836.44,22155.0
Honda,White,24358.0,4.0,5,3.97,6135.52,26675.0
Toyota,White,175955.0,4.0,5,4.67,37677.73,7598.0
Toyota,White,131958.99,4.0,5,3.55,37171.55,8500.0
Toyota,White,177571.0,4.0,5,3.17,56016.09,14318.0
Toyota,White,227387.0,4.0,5,5.44,41799.08,3895.0
Toyota,Blue,131958.99,4.0,5,3.44,38360.17,10834.0
BMW,Blue,85320.0,3.0,5,4.61,18507.59,16517.0
Toyota,White,210123.0,4.0,5,5.53,37996.93,11731.0
Toyota,White,193629.0,4.0,5,3.32,58321.99,12745.0
Toyota,White,131958.99,4.0,5,5.15,25623.1,16128.75
BMW,Blue,93792.0,3.0,5,5.35,17531.21,35264.0
Toyota,Red,157432.0,4.0,5,3.36,46854.76,8260.0
Honda,Black,226391.0,4.0,5,5.47,41387.75,15879.0
Honda,Blue,152547.0,4.0,5,4.42,34512.9,10259.0
Nissan,Blue,10954.0,4.0,5,5.82,1882.13,30439.0
Toyota,White,83594.0,5.0,5,5.66,14769.26,13648.0
BMW,Blue,142189.0,3.0,5,5.67,25077.43,23336.0
Honda,Blue,210446.0,4.0,5,3.19,65970.53,3594.0
Honda,Blue,172266.0,4.0,5,4.64,37126.29,18327.0
Toyota,Blue,169449.0,4.0,5,5.75,29469.39,10855.0
Toyota,Blue,244204.0,4.0,5,4.36,56010.09,6121.0
BMW,Blue,72575.0,5.0,5,4.5,16127.78,41294.0
BMW,Blue,55789.0,3.0,5,4.92,11339.23,26677.0
Toyota,White,240937.0,4.0,5,5.96,40425.67,16128.75
Toyota,Red,193006.0,4.0,5,5.52,34964.86,5101.0
Honda,White,10953.0,4.0,5,4.56,2401.97,16636.0
Honda,White,18933.0,4.0,5,3.97,4769.02,8014.0
Honda,Blue,37625.0,4.0,5,4.08,9221.81,6241.0
Nissan,White,176135.0,3.0,5,4.02,43814.68,17127.0
Honda,Blue,234760.0,4.0,5,4.65,50486.02,11411.0
Toyota,Blue,81864.0,4.0,5,4.29,19082.52,29293.0
Toyota,White,149466.0,4.0,5,5.47,27324.68,16128.75
Nissan,Black,141109.0,4.0,5,3.16,44654.75,16128.75
Toyota,White,189194.0,4.0,5,3.62,52263.54,4946.0
Toyota,Blue,42480.0,4.0,5,4.95,8581.82,19720.0
Toyota,White,146307.0,4.0,5,5.33,27449.72,13508.0
BMW,Red,131587.0,5.0,5,4.85,27131.34,15652.0
Toyota,Blue,98890.0,4.0,5,3.15,31393.65,26926.0
Toyota,Blue,188658.0,4.0,5,5.65,33390.8,14312.0
Nissan,Blue,45668.0,4.0,5,4.1,11138.54,13310.0
BMW,Green,162607.0,5.0,5,5.14,31635.6,14074.0
Toyota,White,149989.0,4.0,5,5.02,29878.29,5260.0
Honda,Red,169579.0,5.0,5,4.01,42289.03,8089.0
Toyota,White,36463.0,4.0,5,5.05,7220.4,16805.0
Honda,White,28625.0,4.0,5,3.7,7736.49,8753.0
BMW,Red,100060.0,5.0,5,4.95,20214.14,38060.0
Nissan,White,43600.0,4.0,5,4.93,8843.81,10030.0
Toyota,Blue,52196.0,4.0,5,3.15,16570.16,11076.0
Toyota,Black,59249.0,4.0,5,5.05,11732.48,9108.0
Honda,Blue,127589.0,4.0,5,5.83,21884.91,15610.0
Nissan,Green,90446.0,4.0,5,3.7,24444.86,13251.0
Nissan,Black,59335.0,4.0,5,5.15,11521.36,28354.0
Toyota,Blue,71306.0,4.0,5,5.9,12085.76,23747.0
Honda,Blue,73286.0,4.0,5,5.64,12993.97,19629.0
Toyota,Black,121160.0,4.0,5,5.19,23344.89,8380.0
Nissan,White,63355.0,4.0,5,4.33,14631.64,22989.0
Toyota,Blue,98619.0,4.0,5,4.96,19882.86,33324.0
Toyota,Blue,200597.0,4.0,5,3.92,51172.7,13147.0
Honda,White,146703.0,4.0,5,3.33,44054.95,20642.0
Honda,Blue,133117.0,5.0,5,3.16,42125.63,10344.0
BMW,Black,192316.0,5.0,5,3.67,52402.18,25490.0
Honda,Blue,127157.0,4.0,5,4.26,29849.06,7682.0
